dia,mes,ano,hora,velocidade,direcao,temperatura,umidade,pressao
30,11,2015,14,13.9422,78.03996,27.51613,72.93064,1020.423
30,11,2015,15,12.92899,71.42997,27.2381,75.21212,1020.394
30,11,2015,16,12.09222,63.81983,27.10526,75.74138,1020.508
30,11,2015,17,11.38,52.28789,26.30556,75.30263,1020.611
30,11,2015,18,10.10944,51.99191,25.46429,76.59259,1020.867
30,11,2015,19,9.247778,49.27006,24.76471,83.34444,1021.287
30,11,2015,20,8.508889,45.14458,24.31081,88.04464,1021.628
30,11,2015,21,8.012222,39.96379,24.30435,91.32967,1021.892
30,11,2015,22,7.898889,37.53199,24.5,92.41538,1021.856
30,11,2015,23,6.396667,35.93918,24.41935,93.62963,1021.835
1,12,2015,0,5.818889,26.04686,23.37681,94.5,1021.744
1,12,2015,1,6.391667,32.90696,24,94.67391,1021.5
1,12,2015,2,6.445556,33.8395,23.52632,95.51351,1021.352
1,12,2015,3,7.093333,30.49947,22.43023,95.61039,1021.28
1,12,2015,4,5.928333,28.57824,22.58621,96.55172,1021.658
1,12,2015,5,4.824444,31.91361,22.73913,95.6,1022.314
1,12,2015,6,3.468987,30.88096,22.96403,94.06944,1022.913
1,12,2015,7,4.858889,28.06304,24.36842,88.62921,1023.308
1,12,2015,8,5.601667,28.0256,25.71552,79.83117,1023.573
1,12,2015,9,5.353333,60.47408,26.59211,75.18333,1023.512
1,12,2015,10,7.217318,110.41,24.54412,88.08537,1011.851
1,12,2015,11,8.427778,102.3695,25.26087,89.48905,1022.835
1,12,2015,12,11.62944,92.55363,25.416,85.55556,1022.127
1,12,2015,13,12.01889,92.03526,25.22807,83.53889,1021.731
1,12,2015,14,11.84222,94.44116,25.24096,87.29444,1021.407
1,12,2015,15,11.12833,90.33209,25.39474,86.78161,1021.183
1,12,2015,16,10.51778,90.1564,25.29412,89.68889,1021.194
1,12,2015,17,9.482778,85.47276,25.27778,91.16667,1021.328
1,12,2015,18,8.810556,83.06716,25.37838,91.3125,1021.632
1,12,2015,19,8.16,83.24456,25.32,91.13433,1022.097
1,12,2015,20,7.582222,85.21717,25.2381,91.02752,1022.576
1,12,2015,21,6.438333,74.01034,25.41026,90.62774,1022.867
1,12,2015,22,4.710556,55.70737,25.23333,90.50556,1022.854
1,12,2015,23,3.376111,53.25811,25.45238,91.25316,1022.667
2,12,2015,0,2.140556,25.11877,24.33613,91.95455,1022.361
2,12,2015,1,2.406667,9.187386,24.04065,93.46341,1021.904
2,12,2015,2,2.299444,349.1996,24.16,93.56471,1021.742
2,12,2015,3,3.312222,346,23.72727,94.55,1021.681
2,12,2015,4,4.647778,344.9147,23.65714,94.56522,1021.642
2,12,2015,5,4.813333,352.3621,23.12883,94.73077,1021.794
2,12,2015,6,3.553889,345.3548,23.0625,93.88889,1022.242
2,12,2015,7,3.660556,346.2314,24.02778,90.80576,1022.591
2,12,2015,8,4.176111,7.666941,25.30556,81.04667,1022.651
2,12,2015,9,3.446667,19.55867,26.79545,73.74074,1022.529
2,12,2015,10,4.37,105.7831,26.66667,76.99296,1022.346
2,12,2015,11,7.258889,107.3357,25.42647,83.97183,1021.903
2,12,2015,12,8.153333,103.8538,25.96581,78.94444,1021.442
2,12,2015,13,8.619444,96.91177,26.18841,77.67222,1020.905
2,12,2015,14,9.767222,90.5236,26.2619,79.05556,1020.306
2,12,2015,15,10.43,87.12968,26.35556,78.62778,1019.98
2,12,2015,16,10.15833,82.34829,26.27027,78.38889,1019.845
2,12,2015,17,9.518333,75.24111,26.08219,79.61111,1019.776
2,12,2015,18,9.152778,69.47919,26.18333,79.27528,1019.853
2,12,2015,19,7.373333,52.7712,25.43478,80.70642,1020.262
2,12,2015,20,6.633333,51.66346,25.09877,82.83505,1020.658
2,12,2015,21,6.125,48.90714,24.34444,85.57143,1020.995
2,12,2015,22,6.113333,55.70876,24.3,87.22414,1020.971
2,12,2015,23,5.445,50.24233,24.43333,89.93103,1020.694
3,12,2015,0,5.574444,56.01353,24.09615,91.23077,1020.326
3,12,2015,1,5.265,37.99205,22.53521,91.29365,1020.034
3,12,2015,2,5.683333,14.44302,22.52381,93.34615,1019.926
3,12,2015,3,7.257222,23.64832,22.57895,92.23333,1019.908
3,12,2015,4,7.79,20.56186,22.52941,91.36111,1019.923
3,12,2015,5,7.737778,17.09905,23.31818,89.48718,1020.432
3,12,2015,6,4.488889,5.659889,22.59756,89.03306,1021.01
3,12,2015,7,2.751667,352.5398,22.67222,90.04918,1021.429
3,12,2015,8,3.232222,3.82898,24.61047,82.83125,1021.676
3,12,2015,9,4.631667,86.50965,26.29412,77.69231,1021.474
3,12,2015,10,6.304444,84.69824,27.04301,71.31461,1021.068
3,12,2015,11,8.659444,96.72252,26.4375,78.30556,1020.548
3,12,2015,12,10.81833,91.43432,26.37313,76.47778,1019.826
3,12,2015,13,12.125,91.38685,25.8172,77.87778,1019.166
3,12,2015,14,13.28222,87.3137,25.44966,72.28889,1018.597
3,12,2015,15,13.26444,84.91309,25.04375,75.37778,1018.172
3,12,2015,16,12.63611,84.3209,24.49398,79.49444,1018.194
3,12,2015,17,10.78722,80.92732,24.16667,82.39286,1018.509
3,12,2015,18,8.713333,72.84556,23.69784,84.81548,1018.879
3,12,2015,19,8.463333,60.99977,23.38372,86.71739,1019.328
3,12,2015,20,7.827222,53.88999,23.71154,90.34532,1019.726
3,12,2015,21,7.552778,45.51151,23.82407,90.94915,1019.814
3,12,2015,22,7.022778,38.60092,23.41667,91.28125,1019.71
3,12,2015,23,5.022222,40.82409,23.05479,92.35714,1019.541
4,12,2015,0,5.127778,42.27739,22.44578,93.72603,1019.371
4,12,2015,1,4.943889,45.06028,22.37719,93.52941,1019.183
4,12,2015,2,4.635,39.91405,23,93.6,1019.163
4,12,2015,3,2.515556,35.22129,22.63699,93.91111,1019.344
4,12,2015,4,1.728333,333.077,22.52632,94.50794,1019.909
4,12,2015,5,5.586667,297.3554,22.83186,94.75258,1020.723
4,12,2015,6,7.507222,298.921,22.01111,88.67222,1020.824
4,12,2015,7,6.214444,304.2193,21.84444,89.49444,1020.706
4,12,2015,8,6.506667,339.1817,22.22222,86.56098,1021.162
4,12,2015,9,6.81,355.9562,21.95,85.9878,1019.984
4,12,2015,10,4.881667,346.0766,22.48276,89.23889,1019.88
4,12,2015,11,4.020556,273.889,23.72857,90.21348,1020.097
4,12,2015,12,4.820556,211.0157,24.14194,86.31875,1019.655
4,12,2015,13,5.509444,177.1817,21.08427,88.51136,1019.007
4,12,2015,14,3.629444,165.5034,20.63571,85.06111,1018.46
4,12,2015,15,3.617222,125.9102,21.10714,85.625,1018.364
4,12,2015,16,5.681176,88.37959,22.48227,87.04294,1018.435
4,12,2015,17,7.479268,73.23351,23.14634,85.28049,1018.43
4,12,2015,18,5.945556,54.99992,24.27647,80.07303,1018.804
4,12,2015,19,6.161111,49.2573,24.46512,84.60784,1019.279
4,12,2015,20,6.860556,49.55163,23.84746,89.83333,1019.639
4,12,2015,21,6.751667,54.17796,23.84722,92.81967,1019.965
4,12,2015,22,6.84,47.03152,23.38095,94.79091,1019.908
4,12,2015,23,7.085,40.55675,23.42857,95.26154,1019.455
5,12,2015,0,5.613333,33.0457,23.27778,97.10811,1019.235
5,12,2015,1,5.505,19.05,22.62162,97.52381,1019.003
5,12,2015,2,5.620556,25.24719,22.28947,96.72222,1018.835
5,12,2015,3,3.808333,19.62037,21.81818,96.52,1019.18
5,12,2015,4,3.451667,14.88758,21.74138,96.35849,1019.493
5,12,2015,5,4.431667,29.25111,21.61111,95.68966,1019.729
5,12,2015,6,1.736667,288.8797,22.17094,95.61386,1020.64
